event_id,event_date,latitude,longitude,landslide_trigger,landslide_size,fatality_count,location_description
3669,06/29/2011 12:00:00 AM,30.7666,78.7963,downpour,medium,0,"National Highway leading to Gangotri, from Dehradun"
3750,07/09/2011 12:00:00 AM,30.7652,78.5925,downpour,medium,0,Gangotri
3751,07/09/2011 12:00:00 AM,30.7331,79.0685,downpour,medium,0,Kedarnath
3752,07/09/2011 12:00:00 AM,31.0188,78.4129,downpour,medium,0,Yamunotri
3821,07/21/2011 12:00:00 AM,29.7334,79.6367,rain,medium,1,"Kumaon, Uttarakhand"
3819,07/21/2011 12:00:00 AM,30.4043,79.3318,rain,medium,1,"Chamoli , Uttarakhand"
4929,06/16/2013 12:00:00 AM,30.4954,78.3881,rain,medium,0,"Rishikesh-Joshimath-Mana Road, Uttarakhand"
4930,06/16/2013 12:00:00 AM,30.885,78.6695,rain,medium,0,"Dharasu-Gangotri Road, Uttarakhand"
4931,06/16/2013 12:00:00 AM,29.7986,80.417,rain,medium,0,"Pithoragarh-Ghatiabgarh Road, Uttarakhand"
1097,08/17/2009 06:00:00 PM,29.4085,80.1327,continuous_rain,medium,0,Pithoragarh district
4928,06/16/2013 12:00:00 AM,30.4619,79.0765,rain,medium,0,"Rudraprayag-Gaurikund Road, Uttarakhand"
4445,07/05/2012 12:00:00 AM,30.1281,78.3221,downpour,large,1,"Badrinath Rd,  Rishikesh, Uttarakhand"
5225,07/28/2013 12:00:00 AM,30.819,78.6149,downpour,small,1,"Bhatwari Area Of Uttarkashi Districti, Uttarakhand"
2241,08/13/2010 12:00:00 AM,30.80200029,78.61786282,downpour,medium,,"Gangotree national highway near Bhatvaree, Uttarkashi district"
5208,07/26/2013 12:00:00 AM,30.2835,79.2498,rain,medium,,Rishikesh-Badrinath Highway Near Kaleshwar
7084,07/06/2015 12:00:00 AM,29.393,79.4525,downpour,medium,0,"Mall Rd, Nainital"
3905,08/10/2011 12:00:00 AM,30.2828,78.3041,rain,medium,0,Chardham yatra
3749,07/09/2011 12:00:00 AM,30.7412,79.4929,downpour,medium,0,Badrinath
